Date,Open,High,Low,Close,Volume
2012-09-12,5381.75,5405.91,5370.98,5402.88,0
2012-09-11,5328.8,5370.17,5320.48,5366.87,0
2012-09-10,5347.78,5355.35,5332.04,5343.14,0
2012-09-07,5286.52,5324.57,5286.52,5320.33,0
2012-09-06,5216.11,5250.04,5208.82,5227.55,0
2012-09-05,5239.43,5247.46,5200.44,5214.66,0
2012-09-04,5233.96,5262.51,5220.43,5259.3,0
2012-09-03,5260.07,5274.57,5224.34,5234.86,0
2012-08-31,5287.58,5287.58,5221.03,5239.03,0
2012-08-30,5252.93,5300.76,5232.95,5284.89,0
2012-08-29,5312.5,5315.63,5260.81,5266.58,0
2012-08-28,5327.22,5334.46,5281.79,5308.38,0
2012-08-27,5365.2,5378.44,5324.52,5328.47,0
2012-08-24,5375.35,5378.58,5349.14,5368.08,0
2012-08-23,5396.44,5426.5,5372.66,5390.16,0
2012-08-22,5391.03,5413.89,5383.55,5393.32,0
2012-08-21,5356.24,5408.53,5356.24,5405.21,0
2012-08-17,5362.28,5389.33,5330.67,5352.71,0
2012-08-16,5377.4,5383.16,5345.71,5350.66,0
2012-08-14,5341.91,5376.86,5325.19,5369.67,0
2012-08-13,5306.64,5344.34,5302.98,5341.37,0
2012-08-10,5301.99,5316.45,5283.51,5307.57,0
2012-08-09,5339.07,5355.16,5301.33,5313.58,0
2012-08-08,5335.84,5363.07,5319.87,5326.44,0
2012-08-07,5295.91,5343.11,5282.26,5329.76,0
2012-08-06,5265.9,5295.12,5262.7,5279.39,0
2012-08-03,5213.38,5227.72,5175.7,5223.31,0
2012-08-02,5237.75,5241.35,5219.04,5237.04,0
2012-08-01,5225.41,5251.11,5220.98,5243.35,0
2012-07-31,5216.68,5233.15,5159.82,5229.16,0
2012-07-30,5140.83,5207.37,5139.21,5202.05,0
2012-07-27,5124.77,5158.7,5081.68,5100.81,0
2012-07-26,5138.58,5138.58,5046.93,5058.43,0
2012-07-25,5144.92,5144.92,5094.49,5123.42,0
2012-07-24,5150.6,5157.93,5119.73,5147.54,0
2012-07-23,5176.29,5179.94,5122.67,5131.19,0
2012-07-20,5244.51,5248.07,5210.01,5219.74,0
2012-07-19,5264.84,5267.71,5242.74,5251.04,0
2012-07-18,5215.69,5234.51,5182.75,5227.03,0
2012-07-17,5249.04,5255.3,5199.62,5207.73,0
2012-07-16,5256.67,5262.9,5210.85,5216.79,0
2012-07-13,5266.86,5288.48,5237.87,5244.14,0
2012-07-12,5264.0,5279.66,5238.84,5256.8,0
2012-07-11,5331.47,5349.34,5317.12,5321.0,0
2012-07-10,5300.33,5356.98,5300.33,5354.06,0
2012-07-09,5304.87,5315.45,5268.87,5284.74,0
2012-07-06,5342.3,5343.21,5308.3,5331.57,0
2012-07-05,5316.19,5352.18,5310.03,5344.66,0
2012-07-04,5329.64,5333.55,5292.34,5320.94,0
2012-07-03,5309.6,5327.63,5284.5,5306.19,0
2012-07-02,5290.08,5308.81,5268.16,5286.88,0
2012-06-29,5201.17,5283.02,5201.17,5279.22,0
2012-06-28,5157.08,5162.8,5127.64,5150.31,0
2012-06-27,5161.7,5164.76,5135.65,5148.02,0
2012-06-26,5114.2,5137.41,5099.6,5127.71,0
2012-06-25,5164.2,5193.49,5105.55,5113.42,0
2012-06-22,5111.88,5156.89,5092.42,5143.47,0
2012-06-21,5097.27,5164.79,5091.77,5161.21,0
2012-06-20,5110.79,5133.71,5094.24,5116.08,0
2012-06-19,5050.06,5102.15,5036.64,5094.21,0
2012-06-18,5176.72,5179.6,5033.55,5053.43,0
2012-06-15,5074.85,5136.14,5073.85,5131.16,0
2012-06-14,5115.22,5127.88,5047.38,5052.6,0
2012-06-13,5121.77,5143.23,5100.13,5120.29,0
2012-06-12,5033.24,5125.78,5033.24,5116.28,0
2012-06-11,5110.12,5129.29,5042.8,5054.85,0
2012-06-08,5038.46,5086.37,5002.23,5073.3,0
2012-06-07,5043.38,5059.21,5012.97,5052.73,0
2012-06-06,4914.77,5011.41,4914.77,5000.38,0
2012-06-05,4888.54,4908.07,4859.27,4873.19,0
2012-06-04,4810.92,4868.45,4786.41,4861.35,0
2012-06-01,4931.16,4943.62,4848.41,4856.04,0
2012-05-31,4909.29,4952.59,4897.64,4942.13,0
2012-05-30,4975.81,4985.78,4950.27,4954.92,0
2012-05-29,5018.7,5029.81,4994.18,5001.6,0
2012-05-28,4955.34,5004.41,4955.34,4998.12,0
2012-05-25,4917.83,4951.1,4906.0,4935.78,0
2012-05-24,4876.64,4938.88,4846.56,4930.21,0
2012-05-23,4865.55,4870.41,4826.11,4853.86,0
2012-05-22,4969.61,4973.13,4872.19,4880.02,0
2012-05-21,4924.14,4956.39,4916.79,4925.47,0
2012-05-18,4830.95,4922.63,4811.28,4908.72,0
2012-05-17,4918.29,4944.97,4870.84,4888.0,0
2012-05-16,4889.31,4901.38,4857.15,4880.07,0
2012-05-15,4901.8,4968.68,4901.8,4958.89,0
2012-05-14,4962.91,4973.22,4894.21,4922.85,0
2012-05-11,4967.22,4993.17,4925.04,4947.49,0
2012-05-10,5013.15,5055.94,4972.45,4985.29,0
2012-05-09,4999.96,5040.14,4978.41,4994.55,0
2012-05-08,5139.75,5150.15,5012.53,5028.67,0
2012-05-07,5037.72,5149.97,5013.14,5140.51,0
2012-05-04,5186.0,5197.39,5096.72,5109.94,0
2012-05-03,5236.39,5237.98,5201.01,5207.78,0
2012-05-02,5296.69,5302.88,5248.8,5258.61,0
2012-04-30,5238.85,5281.7,5238.85,5268.41,0
2012-04-27,5217.31,5248.31,5177.6,5209.55,0
2012-04-26,5241.74,5241.74,5206.15,5214.09,0
2012-04-25,5247.05,5266.64,5191.38,5230.49,0
2012-04-24,5239.73,5263.83,5213.7,5251.1,0
2012-04-23,5317.37,5344.34,5223.22,5232.85,0
2012-04-20,5348.62,5367.01,5283.85,5283.85,0
2012-04-19,5356.74,5371.72,5329.25,5329.25,0
2012-04-18,5370.66,5383.24,5335.34,5383.24,0
2012-04-17,5273.93,5333.56,5253.74,5333.56,0
2012-04-16,5232.41,5274.1,5232.41,5274.1,0
2012-04-13,5294.22,5344.96,5234.31,5234.31,0
2012-04-12,5292.46,5327.0,5292.46,5292.46,0
2012-04-11,5245.26,5303.07,5236.75,5303.07,0
2012-04-10,5288.69,5298.19,5252.31,5252.31,0
2012-04-09,5323.7,5325.16,5271.01,5277.72,0
2012-04-04,5369.0,5377.86,5345.34,5362.68,0
2012-04-03,5386.73,5411.04,5381.32,5391.96,0
2012-04-02,5320.66,5362.39,5312.79,5347.02,0
2012-03-30,5233.65,5324.0,5231.71,5315.15,0
2012-03-29,5170.85,5213.74,5155.63,5204.49,0
2012-03-28,5241.4,5253.14,5187.28,5209.13,0
2012-03-27,5257.09,5292.21,5208.26,5257.13,0
2012-03-26,5288.26,5288.26,5193.74,5201.56,0
2012-03-23,5273.79,5328.31,5238.47,5298.59,0
2012-03-22,5379.48,5410.6,5231.55,5248.49,0
2012-03-21,5284.97,5391.0,5275.68,5384.19,0
2012-03-20,5268.71,5311.48,5248.11,5290.2,0
2012-03-19,5352.72,5352.72,5250.63,5268.03,0
2012-03-16,5408.7,5463.4,5324.85,5334.52,0
2012-03-15,5481.82,5481.82,5384.77,5402.37,0
2012-03-14,5518.42,5520.13,5462.92,5488.29,0
2012-03-13,5429.64,5462.65,5428.13,5452.6,0
2012-03-12,5390.75,5404.3,5353.88,5385.64,0
2012-03-09,5311.57,5360.93,5311.57,5354.84,0
2012-03-07,5224.21,5267.74,5194.12,5240.83,0
2012-03-06,5274.1,5404.0,5237.06,5248.83,0
